CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10000038,Customer_38,398,France,Male,89,4,170544.76,1,1,1,12670.41,0
10000039,Customer_39,824,Spain,Female,90,10,244066.04,2,0,0,161520.31,0
10000040,Customer_40,408,France,Male,58,3,195824.07,1,1,1,58501.09,1
10000041,Customer_41,519,Spain,Female,82,7,43150.03,2,1,1,54041.76,0
10000042,Customer_42,825,France,Male,57,3,197088.48,1,1,0,143082.81,1
10000043,Customer_43,537,Spain,Male,22,7,187084.29,2,1,1,74168.5,0
10000044,Customer_44,813,Spain,Female,45,4,58154.25,1,1,1,102837.99,0
10000045,Customer_45,620,Spain,Male,55,0,81337.46,2,1,0,84321.14,0
10000046,Customer_46,539,France,Female,35,8,177532.06,1,1,0,100932.52,0
10000047,Customer_47,795,France,Female,54,7,59598.27,1,1,1,44443.12,0
10000048,Customer_48,524,France,Female,44,0,52046.72,1,1,1,176988.43,0
10000049,Customer_49,795,France,Male,42,2,175868.19,1,0,1,122039.62,0
10000050,Customer_50,400,France,Male,86,2,220148.87,1,1,1,46750.1,0
10000051,Customer_51,713,Germany,Female,44,4,18754.17,1,0,1,18317.81,0
10000052,Customer_52,404,France,Female,71,6,111476.93,1,1,1,107098.73,0
10000053,Customer_53,593,Germany,Female,24,0,151793.81,1,1,0,93629.74,0
10000054,Customer_54,669,Germany,Male,44,0,169069.2,3,0,0,186498.73,0
10000055,Customer_55,480,France,Male,76,9,249048.98,1,1,1,46148.51,0
10000056,Customer_56,834,Spain,Male,89,5,170672.99,1,0,1,176322.35,0
10000057,Customer_57,656,France,Male,48,4,155038.53,1,1,0,153301.43,0
10000058,Customer_58,484,France,Male,85,2,247433.54,2,1,0,95306.67,1
10000059,Customer_59,370,France,Male,21,2,15167.04,2,1,1,174755.9,0
10000060,Customer_60,678,Spain,Male,35,3,18609.22,1,1,0,172377.32,0
10000061,Customer_61,516,France,Female,80,10,140170.63,1,1,1,142887.48,0
10000062,Customer_62,623,France,Female,69,9,89666.15,2,1,1,20320.09,1
10000063,Customer_63,737,Germany,Male,80,1,24174.38,2,1,1,32047.46,0
10000064,Customer_64,438,France,Male,62,8,76612.22,2,1,0,118324.6,1
10000065,Customer_65,665,Germany,Female,29,3,168588.62,1,0,1,49092.18,0
10000066,Customer_66,363,Spain,Male,25,9,220153.74,2,1,1,110238.4,0
10000067,Customer_67,591,Spain,Female,39,2,23581.12,1,0,0,112161.76,0
10000068,Customer_68,614,France,Female,58,9,135036.27,2,0,0,117423.45,0
10000069,Customer_69,695,France,Female,58,10,74028.89,1,1,1,113973.05,0
10000070,Customer_70,402,France,Female,74,6,166831.54,1,1,0,75858.55,0
10000071,Customer_71,735,France,Male,49,8,137362.87,2,0,1,42057.67,0
10000072,Customer_72,689,France,Female,72,1,231677.75,2,0,1,103713.86,0
10000073,Customer_73,441,France,Male,23,5,9420.97,2,0,0,99038.46,0
10000074,Customer_74,716,Spain,Male,56,4,117509.32,1,1,1,55046.7,0
10000075,Customer_75,793,Spain,Male,26,0,48189.89,2,1,1,10247.09,0
10000076,Customer_76,804,France,Male,49,10,134195.43,2,0,0,41122.6,0
10000077,Customer_77,777,France,Male,53,6,213394.84,1,1,0,110161.25,1
10000078,Customer_78,613,France,Male,33,0,227829.13,1,0,0,107128.95,0
10000079,Customer_79,780,France,Female,29,9,99557.92,2,0,1,26737.42,0
10000080,Customer_80,384,Germany,Female,58,8,202945.13,1,1,0,121214.77,1
10000081,Customer_81,555,Germany,Male,84,3,70127.02,2,1,0,84536.26,0
10000082,Customer_82,430,Spain,Male,75,7,1576.24,2,0,0,130737.87,0
10000083,Customer_83,769,Germany,Male,26,0,213809.76,3,1,1,177602.27,0
10000084,Customer_84,399,Germany,Female,34,4,29853.06,2,0,1,61717.1,0
10000085,Customer_85,709,Germany,Male,22,2,4402.78,1,1,1,69468.66,1
10000086,Customer_86,737,France,Female,43,3,88449.42,1,0,0,135366.42,0
10000087,Customer_87,351,Germany,Male,18,3,94845.0,1,1,0,189831.66,0
10000088,Customer_88,739,France,Female,18,7,19305.04,1,0,1,97230.22,0
10000089,Customer_89,403,France,Male,52,9,203545.66,1,1,0,33866.44,1
10000090,Customer_90,455,France,Male,26,9,101398.18,2,1,1,187001.73,0
10000091,Customer_91,609,France,Male,55,2,122480.9,2,0,0,93961.29,0
10000092,Customer_92,659,Spain,Male,21,0,66156.32,2,1,0,92145.82,0
10000093,Customer_93,826,France,Female,69,4,127876.69,1,1,1,107966.75,0
10000094,Customer_94,540,France,Female,36,1,191682.85,2,1,0,50509.1,0
10000095,Customer_95,751,France,Male,22,10,226545.68,2,1,0,156941.05,1
10000096,Customer_96,567,Germany,Female,65,5,242632.4,1,1,1,128212.67,0
10000097,Customer_97,393,France,Male,80,3,106680.98,1,1,1,190974.55,0
10000098,Customer_98,511,Spain,Female,55,8,247508.46,2,1,0,40786.38,1
10000099,Customer_99,551,Spain,Male,69,6,73738.93,1,1,1,123831.08,0
10000100,Customer_100,795,Germany,Female,63,1,1743.98,4,0,0,103332.14,1
10000101,Customer_101,833,Germany,Male,26,6,191904.26,2,0,0,178951.93,0
10000102,Customer_102,619,France,Male,67,9,44608.91,1,1,0,6084.04,1
10000103,Customer_103,700,France,Male,91,7,13113.71,1,1,1,152162.8,1
10000104,Customer_104,653,Spain,Male,83,2,231002.23,1,1,0,124616.09,1
10000105,Customer_105,620,France,Female,55,2,197952.71,2,0,1,121514.14,0
10000106,Customer_106,805,France,Male,44,10,25666.2,2,0,1,175065.66,0
10000107,Customer_107,811,Germany,Female,37,1,194227.54,2,1,1,117964.13,0
10000108,Customer_108,564,France,Female,79,0,210999.92,2,0,1,143187.68,0
10000109,Customer_109,601,Spain,Female,91,2,226325.42,2,1,0,129145.37,1
10000110,Customer_110,539,France,Female,33,9,135923.52,1,1,0,13911.18,0
10000111,Customer_111,645,Spain,Female,30,10,175853.02,2,0,0,22575.77,0
10000112,Customer_112,562,Germany,Female,37,6,190559.82,2,1,0,67706.71,0
10000113,Customer_113,557,Spain,Female,41,10,172159.73,1,1,1,135143.9,0
10000114,Customer_114,586,France,Male,67,8,161708.41,2,1,1,5300.57,0
10000115,Customer_115,687,Germany,Female,24,8,136889.81,2,1,0,154521.59,0
10000116,Customer_116,716,Spain,Female,46,5,119798.86,1,1,1,40610.72,0
10000117,Customer_117,402,France,Female,22,5,249031.25,2,1,0,111908.77,0
10000118,Customer_118,629,France,Male,52,10,84390.2,2,0,0,40240.16,1
10000119,Customer_119,759,Germany,Male,82,4,22067.19,2,1,0,35202.66,0
10000120,Customer_120,566,Germany,Female,87,1,191259.24,1,1,1,66845.58,0
10000121,Customer_121,601,France,Female,91,6,53456.09,4,1,1,184302.6,0
10000122,Customer_122,537,Spain,Male,24,0,133173.34,1,1,0,47577.38,0
10000123,Customer_123,729,France,Male,61,5,23950.38,2,1,1,9715.05,1
10000124,Customer_124,842,France,Male,89,3,154820.97,1,1,1,176450.16,0
10000125,Customer_125,390,Spain,Female,30,2,236001.85,1,1,0,87792.32,0
10000126,Customer_126,506,Germany,Male,55,10,180676.18,2,0,1,124215.43,0
10000127,Customer_127,364,Spain,Female,30,0,53633.69,2,0,0,177156.92,0
10000128,Customer_128,650,Spain,Female,71,5,242784.51,2,1,1,151132.6,1
10000129,Customer_129,414,France,Female,61,6,76771.73,1,1,0,159303.24,0
10000130,Customer_130,694,France,Male,30,10,109153.75,2,1,1,96024.42,0
10000131,Customer_131,676,France,Female,42,0,124529.26,1,1,1,137471.84,0
10000132,Customer_132,358,Germany,Female,41,10,247679.69,1,1,0,192753.72,0
10000133,Customer_133,693,Spain,Male,46,0,17222.85,2,1,0,177959.03,1
10000134,Customer_134,478,France,Male,87,6,174182.07,1,1,0,122489.76,0
10000135,Customer_135,841,France,Female,35,10,90482.72,1,0,0,17084.58,0
10000136,Customer_136,485,France,Female,22,5,19581.33,2,1,1,195940.51,0
10000137,Customer_137,821,Spain,Female,35,6,233757.91,2,1,1,45105.9,0
10000138,Customer_138,412,France,Male,80,7,147464.58,2,1,0,72158.57,0
10000139,Customer_139,488,France,Male,54,7,188379.5,2,1,0,28079.99,1
10000140,Customer_140,848,Germany,Male,88,8,60096.36,1,0,0,33331.83,0
10000141,Customer_141,430,Spain,Female,72,8,190385.23,1,0,0,159157.89,0
10000142,Customer_142,741,Germany,Female,90,6,207118.86,2,0,1,25663.13,0
10000143,Customer_143,512,Germany,Male,29,8,107707.35,1,0,0,37884.0,1
10000144,Customer_144,768,France,Male,69,5,142989.12,2,1,0,34307.33,0
10000145,Customer_145,638,Germany,Female,74,8,242968.13,1,1,0,74044.25,0
10000146,Customer_146,728,Germany,Female,63,10,211682.41,2,0,0,138940.59,0
10000147,Customer_147,610,Spain,Male,61,1,111212.52,1,1,0,128771.31,0
10000148,Customer_148,839,France,Female,41,10,166143.46,1,1,0,144942.13,0
10000149,Customer_149,580,France,Female,26,1,196057.87,2,0,0,145365.38,1
10000150,Customer_150,390,France,Male,29,5,6082.21,1,0,1,611.11,0
10000151,Customer_151,377,France,Male,26,2,147091.5,2,1,0,136911.43,0
10000152,Customer_152,484,Spain,Male,39,1,246132.15,2,1,1,136917.99,0
10000153,Customer_153,550,France,Male,34,7,236795.16,2,1,0,12432.67,0
10000154,Customer_154,677,France,Female,50,6,208110.1,1,1,0,85430.54,0
10000155,Customer_155,617,France,Male,64,7,26553.52,2,1,0,15739.57,0
10000156,Customer_156,767,France,Male,32,5,248510.36,2,1,0,38174.9,1
10000157,Customer_157,382,France,Male,50,8,152384.54,2,1,0,97955.79,0
10000158,Customer_158,397,France,Male,32,8,55727.06,2,0,1,2413.28,0
10000159,Customer_159,756,France,Female,44,1,168567.17,2,0,0,19009.95,1
10000160,Customer_160,411,Germany,Male,78,9,214130.89,2,0,0,16994.31,0
10000161,Customer_161,565,Germany,Male,85,4,28081.94,1,0,1,24918.45,0
10000162,Customer_162,642,France,Female,65,8,229109.54,4,0,1,9966.94,1
10000163,Customer_163,448,Spain,Male,25,2,230051.07,1,1,1,122419.67,0
10000164,Customer_164,521,Germany,Female,23,4,3366.1,3,0,0,35728.38,0
10000165,Customer_165,709,Spain,Male,80,7,225079.78,1,0,1,172522.12,1
10000166,Customer_166,563,France,Female,19,1,236704.48,1,1,1,176961.32,0
10000167,Customer_167,824,France,Female,39,5,9422.95,2,1,0,138210.16,1
10000168,Customer_168,384,France,Male,38,10,73541.58,1,0,1,13001.49,0
10000169,Customer_169,798,France,Female,23,3,93276.88,1,1,1,178321.94,0
10000170,Customer_170,576,France,Male,87,5,87222.62,2,1,1,83743.25,1
10000171,Customer_171,450,Spain,Female,30,2,189750.81,2,1,0,36231.91,0
10000172,Customer_172,780,France,Male,18,5,89526.11,1,1,1,155758.17,0
10000173,Customer_173,811,France,Female,39,6,239144.7,1,0,0,69345.85,1
10000174,Customer_174,480,Germany,Male,41,9,248748.16,1,1,1,101219.97,0
10000175,Customer_175,606,France,Female,81,2,79204.72,1,0,0,148610.95,0
10000176,Customer_176,354,Germany,Female,58,4,127200.19,2,1,1,20233.95,0
10000177,Customer_177,567,Germany,Female,39,7,139426.46,1,0,1,33919.88,0
10000178,Customer_178,604,Spain,Male,78,1,144850.71,1,1,1,193712.31,0
10000179,Customer_179,747,Spain,Male,29,6,93552.25,2,1,0,142712.07,0
10000180,Customer_180,708,France,Male,21,0,41498.38,2,1,0,46233.59,0
10000181,Customer_181,632,Germany,Male,29,6,13640.14,2,1,1,114761.95,0
10000182,Customer_182,742,Spain,Male,50,0,26587.17,1,1,0,37606.47,0
10000183,Customer_183,556,Spain,Male,38,3,225322.81,2,0,1,173094.03,0
10000184,Customer_184,364,France,Male,90,3,70093.75,2,1,1,89729.1,0
10000185,Customer_185,695,Spain,Male,89,4,19205.75,2,1,0,161376.3,0
10000186,Customer_186,391,France,Male,91,1,155882.42,1,1,0,194383.5,1
10000187,Customer_187,729,Spain,Male,91,10,18826.79,4,0,0,196175.19,0
10000188,Customer_188,810,France,Male,89,5,17513.23,2,1,0,27532.74,1
10000189,Customer_189,528,Germany,Female,69,5,155392.63,2,0,1,188961.8,1
10000190,Customer_190,412,Spain,Male,64,7,147848.81,2,1,0,54065.89,1
10000191,Customer_191,701,France,Male,76,9,10369.32,1,1,0,71931.5,1
10000192,Customer_192,580,France,Male,64,0,115119.46,1,1,1,12608.82,0
10000193,Customer_193,590,France,Male,73,3,108942.08,2,1,0,129123.38,0
10000194,Customer_194,401,Spain,Female,30,1,136672.28,1,1,1,128827.36,0
10000195,Customer_195,445,Spain,Male,61,10,184461.18,1,1,0,155410.25,0
10000196,Customer_196,737,Germany,Male,52,7,70700.01,1,1,0,189252.61,0
10000197,Customer_197,571,Germany,Female,46,3,108195.07,2,1,0,85639.61,1
10000198,Customer_198,834,Spain,Female,73,7,198185.67,2,1,0,81493.35,1
10000199,Customer_199,756,France,Male,22,1,230639.1,1,1,1,127826.96,0
10000200,Customer_200,580,France,Male,84,3,222830.74,2,1,1,133485.73,0
10000201,Customer_201,586,Germany,Male,70,8,119407.74,1,1,1,89054.57,0
10000202,Customer_202,492,France,Male,77,4,130216.45,2,1,0,183866.55,0
10000203,Customer_203,520,France,Male,23,5,132276.36,1,1,1,10445.07,0
10000204,Customer_204,378,France,Female,65,9,217178.89,2,1,0,151283.01,1
10000205,Customer_205,385,France,Male,52,8,209984.88,1,1,1,41597.31,1
10000206,Customer_206,362,Spain,Female,35,8,77883.13,1,0,0,99071.43,0
10000207,Customer_207,509,France,Male,28,6,40712.42,1,1,0,170300.22,0
10000208,Customer_208,676,Germany,Male,68,10,94743.64,1,1,1,65928.54,0
10000209,Customer_209,536,France,Female,40,1,72101.6,2,1,1,179938.05,0
10000210,Customer_210,592,France,Male,64,6,237695.18,1,1,1,90142.72,1
10000211,Customer_211,435,France,Male,76,8,66478.92,1,1,1,140553.8,1
10000212,Customer_212,633,Spain,Male,74,1,45301.67,1,1,1,144539.24,0
10000213,Customer_213,415,Germany,Male,73,6,224869.77,1,1,1,52170.83,0
10000214,Customer_214,519,Spain,Male,44,6,21619.65,2,0,1,180132.61,0
10000215,Customer_215,394,Germany,Male,90,2,65066.51,1,1,1,24931.86,1
10000216,Customer_216,411,Germany,Male,52,5,109777.8,1,1,1,118018.73,1
10000217,Customer_217,790,Germany,Male,72,7,148776.84,1,0,1,185802.46,1
10000218,Customer_218,483,Spain,Female,26,9,81918.22,1,1,1,6209.32,0
10000219,Customer_219,633,Spain,Male,35,7,124058.5,1,1,0,106255.37,0
10000220,Customer_220,377,France,Male,61,2,49707.8,2,0,1,49295.86,1
10000221,Customer_221,457,Germany,Female,38,5,143568.53,1,1,0,38500.23,1
10000222,Customer_222,393,Germany,Female,73,1,101954.2,2,1,1,46761.73,1
10000223,Customer_223,689,Germany,Male,65,1,212314.92,2,1,1,180538.5,1
10000224,Customer_224,635,France,Male,18,7,103933.53,1,1,1,85109.49,0
10000225,Customer_225,795,Spain,Female,44,10,110953.85,2,0,0,47187.54,0
10000226,Customer_226,680,Spain,Male,62,9,148043.75,2,0,1,185512.29,0
10000227,Customer_227,477,France,Female,80,4,30792.5,2,1,0,64330.93,0
10000228,Customer_228,697,Spain,Female,75,4,39198.79,2,1,0,144696.36,0
10000229,Customer_229,822,France,Male,57,10,197559.44,1,1,1,107439.6,1
10000230,Customer_230,580,France,Male,80,3,68354.69,1,1,1,135836.68,0
10000231,Customer_231,539,France,Female,55,10,171174.23,2,1,1,36544.24,0
10000232,Customer_232,574,France,Male,46,9,24356.74,1,0,1,135709.01,0
10000233,Customer_233,734,Spain,Male,57,3,205461.67,1,1,0,181165.33,1
10000234,Customer_234,726,France,Male,36,7,247057.03,2,0,0,20190.9,0
10000235,Customer_235,632,France,Female,73,2,93422.74,2,1,1,65313.52,0
10000236,Customer_236,795,France,Female,61,10,126382.53,1,1,1,194521.19,0
10000237,Customer_237,470,France,Female,82,2,110677.99,1,1,1,45047.81,0
10000238,Customer_238,465,France,Female,30,7,223546.94,1,0,1,11921.7,0
10000239,Customer_239,810,Germany,Male,47,2,2483.51,1,0,1,11022.18,0
10000240,Customer_240,582,France,Female,66,1,163364.83,2,1,1,55067.83,0
10000241,Customer_241,608,Spain,Male,80,10,163092.07,3,1,0,98980.21,1
10000242,Customer_242,708,Spain,Female,88,4,95596.25,2,1,0,53773.53,0
10000243,Customer_243,547,France,Male,52,10,54833.41,1,1,1,56188.49,0
10000244,Customer_244,805,Spain,Male,28,2,59920.67,2,0,1,166286.98,0
10000245,Customer_245,760,France,Female,66,5,200116.03,2,1,1,153390.6,1
10000246,Customer_246,486,France,Male,57,10,16525.77,2,0,0,62176.81,0
10000247,Customer_247,667,France,Female,38,6,140956.04,2,1,0,68984.72,0
10000248,Customer_248,514,France,Female,64,2,76710.15,2,1,0,193934.94,0
10000249,Customer_249,574,Germany,Male,20,8,66311.95,2,1,1,190031.69,0
10000250,Customer_250,656,Spain,Male,47,9,126434.42,1,1,1,194620.13,0
10000251,Customer_251,583,France,Female,84,0,224465.38,2,1,0,187840.64,0
10000252,Customer_252,521,Germany,Male,79,6,154522.98,2,1,1,125621.51,0
10000253,Customer_253,501,France,Female,54,3,197152.66,2,1,0,61672.8,1
10000254,Customer_254,812,Spain,Female,39,6,150170.94,2,0,1,193899.56,0
10000255,Customer_255,664,France,Female,48,8,174428.94,2,1,0,148566.48,1
10000256,Customer_256,723,France,Female,63,8,108101.91,2,1,1,142252.4,0
10000257,Customer_257,509,France,Female,62,0,231495.41,1,1,0,159526.08,1
10000258,Customer_258,445,France,Female,31,9,125484.76,2,1,0,119698.04,1
10000259,Customer_259,821,Germany,Female,29,3,137943.67,2,0,0,116656.55,0
10000260,Customer_260,582,Spain,Female,80,6,131241.38,2,1,1,72273.37,0
10000261,Customer_261,529,France,Male,55,9,79047.26,1,0,0,30156.86,0
10000262,Customer_262,462,Germany,Male,64,5,57809.61,2,1,0,87711.42,0
10000263,Customer_263,667,Germany,Female,71,8,18458.74,2,1,0,103480.27,0
10000264,Customer_264,846,Spain,Male,72,6,179543.75,2,1,1,175563.37,0
10000265,Customer_265,791,France,Male,65,2,72318.82,3,1,0,80326.68,1
10000266,Customer_266,401,France,Male,90,6,97299.49,2,1,0,176605.05,1
10000267,Customer_267,617,Spain,Female,89,9,229982.04,2,1,0,63511.07,1
10000268,Customer_268,644,Germany,Male,32,4,141611.84,1,0,1,188936.07,0
10000269,Customer_269,735,France,Male,88,1,24269.52,3,1,1,7797.66,1
10000270,Customer_270,736,France,Male,33,9,199902.98,3,1,0,105071.72,1
10000271,Customer_271,462,France,Female,60,2,64032.65,1,1,1,64325.77,0
10000272,Customer_272,450,Germany,Male,24,5,138176.46,1,1,0,58890.37,1
10000273,Customer_273,462,Germany,Male,60,5,127495.37,2,1,0,15888.63,1
10000274,Customer_274,789,France,Male,45,6,59519.71,1,1,1,136261.19,0
10000275,Customer_275,430,Germany,Male,83,5,28942.76,1,1,0,78516.44,1
10000276,Customer_276,536,Germany,Female,77,8,52815.4,2,1,0,189811.17,0
10000277,Customer_277,462,Germany,Female,20,4,24334.45,3,1,1,142487.89,0
10000278,Customer_278,351,Germany,Male,18,4,68907.0,1,1,0,88584.33,0
10000279,Customer_279,479,Spain,Male,48,7,249324.38,2,1,0,125463.66,0
10000280,Customer_280,569,France,Female,73,7,100523.07,2,1,1,13210.51,1
10000281,Customer_281,403,Spain,Male,63,0,215972.1,2,1,0,117832.16,1
10000282,Customer_282,692,France,Male,49,2,137294.42,1,0,0,133233.62,0
10000283,Customer_283,834,France,Male,35,5,166645.77,1,1,0,21242.71,1
10000284,Customer_284,573,France,Male,85,5,39086.99,1,1,0,136489.48,0
10000285,Customer_285,574,France,Male,52,0,68701.47,2,0,0,94807.26,0
10000286,Customer_286,734,France,Female,40,1,127610.86,2,1,0,95929.17,0
10000287,Customer_287,752,France,Male,30,9,220285.86,1,1,1,144718.56,0
10000288,Customer_288,475,Spain,Male,31,6,10722.01,1,0,1,89967.43,0
10000289,Customer_289,479,France,Male,54,0,126729.99,1,1,0,46877.88,1
10000290,Customer_290,402,Germany,Male,22,9,12753.05,3,0,1,59664.49,0
10000291,Customer_291,521,France,Male,39,4,114205.67,2,1,0,147673.12,0
10000292,Customer_292,567,Spain,Male,45,0,157217.04,2,0,1,14209.35,0
10000293,Customer_293,509,Germany,Male,21,5,186180.8,1,0,1,168166.85,1
10000294,Customer_294,547,France,Female,67,6,34633.0,2,0,1,116445.3,1
10000295,Customer_295,765,Spain,Female,46,7,41643.82,2,0,0,145397.18,0
10000296,Customer_296,596,Germany,Male,54,2,117516.23,2,1,0,68744.77,0
10000297,Customer_297,673,Spain,Male,52,2,249509.11,1,1,0,44556.95,0
10000298,Customer_298,788,Germany,Female,37,10,89011.71,2,0,1,160917.29,0
10000299,Customer_299,552,Germany,Male,52,0,106881.86,1,1,0,20451.58,1
10000300,Customer_300,533,Spain,Male,19,2,108111.69,1,1,0,33179.98,0
10000301,Customer_301,472,France,Female,75,4,20175.21,1,1,0,56992.07,1
10000302,Customer_302,750,France,Female,35,5,193543.04,1,0,0,70251.68,1
10000303,Customer_303,604,Spain,Male,73,2,63275.38,1,1,1,40739.85,0
10000304,Customer_304,643,France,Male,81,3,175916.76,2,1,1,182526.87,1
10000305,Customer_305,629,France,Female,69,4,118772.47,1,1,0,5446.51,1
10000306,Customer_306,674,France,Male,39,4,152944.94,1,1,0,160695.41,1
10000307,Customer_307,721,France,Female,77,8,13492.91,1,0,0,82220.45,0
10000308,Customer_308,447,Spain,Male,27,7,222491.42,2,1,0,167224.48,0
10000309,Customer_309,547,France,Male,23,0,60964.19,1,1,1,159195.27,0
10000310,Customer_310,819,France,Male,23,1,167523.85,2,1,1,24217.14,0
10000311,Customer_311,744,Germany,Female,45,4,199504.78,1,0,1,133286.67,0
10000312,Customer_312,589,Spain,Female,59,2,135009.68,1,1,0,75696.12,0
10000313,Customer_313,493,France,Male,91,6,84333.51,2,0,1,164204.51,0
10000314,Customer_314,446,France,Female,58,10,244475.84,1,1,0,170205.36,0
10000315,Customer_315,550,Spain,Female,80,5,69609.93,2,0,1,37818.17,0
10000316,Customer_316,473,Germany,Female,39,1,237165.58,2,1,0,95735.42,1
10000317,Customer_317,536,France,Female,46,7,39056.03,2,0,1,118885.21,0
10000318,Customer_318,675,France,Male,88,4,97305.53,1,1,0,108820.25,0
10000319,Customer_319,813,France,Male,51,5,34623.9,2,1,1,50362.4,0
10000320,Customer_320,698,France,Female,19,7,560.12,2,1,1,54506.23,0
10000321,Customer_321,608,France,Female,43,5,65064.64,1,1,1,171639.86,0
10000322,Customer_322,497,Spain,Male,36,9,21802.6,1,1,1,6550.68,0
10000323,Customer_323,601,France,Male,37,2,246586.38,1,1,0,52480.72,0
10000324,Customer_324,792,Germany,Female,50,6,190413.33,1,0,0,44623.47,0
10000325,Customer_325,769,France,Male,21,3,926.2,2,1,1,74140.53,0
10000326,Customer_326,752,Spain,Female,49,5,55911.65,2,0,0,137223.94,0
10000327,Customer_327,695,Germany,Male,36,5,167531.06,1,1,0,106457.25,0
10000328,Customer_328,800,France,Female,20,10,99638.03,1,1,0,108130.96,0
10000329,Customer_329,496,Germany,Male,78,4,207960.64,1,1,1,146260.49,1
10000330,Customer_330,497,France,Male,55,0,126215.19,1,1,1,162434.2,0
10000331,Customer_331,701,Spain,Male,23,7,163412.85,1,0,1,31984.14,0
10000332,Customer_332,548,Spain,Female,73,9,149259.35,1,1,0,21615.91,0
10000333,Customer_333,657,France,Female,57,1,159542.23,1,1,0,60251.45,1
10000334,Customer_334,838,France,Female,86,3,57524.71,2,1,0,165512.56,0
10000335,Customer_335,766,France,Male,59,2,93322.36,2,1,0,108353.75,1
10000336,Customer_336,773,Germany,Female,91,5,12657.31,2,1,0,28574.57,0
10000337,Customer_337,477,France,Female,19,10,146909.13,2,1,1,32756.75,1
10000338,Customer_338,388,France,Female,45,0,114814.62,1,0,1,179654.93,0
10000339,Customer_339,687,France,Female,34,8,190179.04,2,1,1,73400.71,0
10000340,Customer_340,709,France,Male,87,4,51595.62,1,1,0,51064.05,0
10000341,Customer_341,478,Germany,Female,86,4,109203.03,2,1,0,138751.42,1
10000342,Customer_342,616,France,Female,56,3,45186.36,1,1,1,172158.41,0
10000343,Customer_343,825,Germany,Female,24,3,153494.81,1,1,0,88488.13,0
10000344,Customer_344,790,France,Female,49,0,212007.56,1,1,1,158228.73,1
10000345,Customer_345,822,France,Male,21,8,191360.81,1,1,1,86013.68,0
